,Start,Pos1,→,Pos2,→,Pos3,→,Pos4,→
right tot=4,V,1.873,×1.27,2.374,×1.37,3.263,×2.04,6.660,
  ↘diag,,,,,,,,↘×1.18,
right tot=3,V,1.868,×1.43,2.665,×2.11,5.629,,,
  ↘diag,,,,,,↘×1.18,,,
right tot=2,V,2.061,×2.32,4.771,,,,,
  ↘diag,,,,↘×1.08,,,,,
right tot=1,V,4.425,,,,,,,
left tot=1,,2.349,V,,,,,,
  ↘diag,,↘×0.94,,,,,,,
left tot=2,,1.932,×1.29,2.491,V,,,,
  ↘diag,,,,↘×0.92,,,,,
left tot=3,,1.812,×1.20,2.181,×1.25,2.719,V,,
  ↘diag,,,,,,↘×0.88,,,
left tot=4,,1.702,×1.23,2.098,×1.26,2.638,×1.17,3.084,V
